Depth,OB,VP,Temp,PP,GR,NPHI,CALI,LITHO,RHOB,RDEP
28,254.5998124610713,1818.8315424676748,41.4697984,40.5906875136,64.4974823,,19.406000137,,1.7890000343,1.5749928951
29,257.36583597762376,1818.8315424676748,41.5222912,42.0403549248,64.4974823,,19.406000137,,1.7890000343,1.5749928951
30,260.13362805285453,1818.8315424676748,41.574784,43.490022336,64.4974823,,19.406000137,,1.7890000343,1.5749928951
31,262.9031450099079,1818.8315424676748,41.6272768,44.9396897472,64.4974823,,19.406000137,,1.7890000343,1.5749928951
32,265.6743456088175,1818.8315424676748,41.6797696,46.3893571584,64.4974823,,19.406000137,,1.7890000343,1.5749928951
33,268.44719083943096,1818.8315424676748,41.7322624,47.8390245696,64.4974823,,19.406000137,,1.7890000343,1.5749928951
34,271.2216437376129,1818.8315424676748,41.7847552,49.288691980799996,64.4974823,,19.406000137,,1.7890000343,1.5749928951
35,273.99766922150684,1818.8315424676748,41.837248,50.738359392,64.4974823,,19.406000137,,1.7890000343,1.5749928951
36,276.7752339451623,1818.8315424676748,41.8897408,52.188026803199996,64.4974823,,19.406000137,,1.7890000343,1.5749928951
37,279.55430616725727,1818.8315424676748,41.9422336,53.6376942144,64.4974823,,19.406000137,,1.7890000343,1.5749928951
38,282.33485563299797,1818.8315424676748,41.9947264,55.087361625599996,64.4974823,,19.406000137,,1.7890000343,1.5749928951
39,285.1168534675628,1818.8315424676748,42.0472192,56.53702903680001,64.4974823,,19.406000137,,1.7890000343,1.5749928951
40,287.9002720796982,1818.8315424676748,42.099712,57.986696448000004,64.4974823,,19.406000137,,1.7890000343,1.5749928951
41,290.6850850742712,1818.8315424676748,42.1522048,59.4363638592,64.4974823,,19.406000137,,1.7890000343,1.5749928951
42,293.4712671727506,1818.8315424676748,42.2046976,60.8860312704,64.4974823,,19.406000137,,1.7890000343,1.5749928951
43,296.258794140726,1818.8315424676748,42.2571904,62.3356986816,64.4974823,,19.406000137,,1.7890000343,1.5749928951
44,299.04764272169655,1818.8315424676748,42.3096832,63.7853660928,64.4974823,,19.406000137,,1.7890000343,1.5749928951
45,301.8377905764552,1818.8315424676748,42.362176,65.235033504,64.4974823,,19.406000137,,1.7890000343,1.5749928951
46,304.62921622748433,1818.8315424676748,42.4146688,66.68470091520001,64.4974823,,19.406000137,,1.7890000343,1.5749928951
47,307.4218990078491,1818.8315424676748,42.4671616,68.13436832640001,64.4974823,,19.406000137,,1.7890000343,1.5749928951
48,310.21581901413595,1818.8315424676748,42.5196544,69.5840357376,64.4974823,,19.406000137,,1.7890000343,1.5749928951
49,313.0109570630415,1818.8315424676748,42.5721472,71.0337031488,64.4974823,,19.406000137,,1.7890000343,1.5749928951
50,315.8072946512582,1818.8315424676748,42.62464,72.48337056,64.4974823,,19.406000137,,1.7890000343,1.5749928951
51,318.6048139183472,1818.8315424676748,42.6771328,73.9330379712,64.4974823,,19.406000137,,1.7890000343,1.5749928951
52,321.4034976123217,1818.8315424676748,42.7296256,75.38270538239999,64.4974823,,19.406000137,,1.7890000343,1.5749928951
53,324.20332905769476,1818.8315424676748,42.7821184,76.8323727936,64.4974823,,19.406000137,,1.7890000343,1.5749928951
54,327.0042921257725,1818.8315424676748,42.8346112,78.2820402048,64.4974823,,19.406000137,,1.7890000343,1.5749928951
55,329.8063712069969,1818.8315424676748,42.887104,79.731707616,64.4974823,,19.406000137,,1.7890000343,1.5749928951
